Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
r240iLC915R06154[c],-30.20291364,-30.68640007,-34.04533595,-33.20485556,-54.62228581,-34.35713653,-29.65328954,-34.89271801,-35.22227882,-30.66172323,-33.81485006,-54.98152004,-34.65656009,-29.71222174,-53.94913343,-30.66172323,-34.31260398,-32.77062559,-33.89602973,-38.6872881,-33.91188463,-34.57548627,-34.75194223,-29.78109031,-35.49366598,-35.16421792,-33.91188463,-34.85642741,-36.74601799,-34.21721501,-32.94596023,-29.80373536,-55.05417941,-33.60013995,-54.06991042,-36.74601799,-29.72209922,-32.43651178,-34.52202849,-32.46806957,-36.18779651,-34.17087592,-30.27548364,-32.59239567,-33.58220813,-34.21004865,-34.67443353,-32.18221294,-36.12049559
r243iLC915R00366[p],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r245[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r251ANIDULANSR01514[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r258iLC915R00936[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r260iLC915R00940[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r261iLC915R02235[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r281[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r281[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r290ANIDULANSR01440[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r295[m],105.4861768,105.2830031,138.5250573,140.0945488,172.955955,142.3694292,109.0140327,147.5276039,184.9555336,105.2778885,144.762616,214.4645382,149.0547483,106.753638,172.6529001,105.9482782,138.8123478,137.9167823,142.3513599,254.2155544,142.3376798,146.5087422,150.4440759,102.1947287,187.5488373,150.1459624,142.3376798,256.9410873,189.2366101,138.6241308,140.1594542,108.68883,244.3266324,138.1294416,151.7568459,189.2366101,109.3975112,137.7275742,146.5533675,148.7789012,264.4198689,138.6473763,105.8019372,131.7708308,138.1905576,138.6466238,146.8128073,144.8450687,207.8161581
r308AORYZAER01332[e],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r322iLC915R03050[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r322iLC915R03050[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r323iLC915R04673[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r323iLC915R04673[m],,,0,0,0,0,,0,0,,,0,,,0,0,0,0,0,0,0,0,,0,,,0,,0,,,0,,,0,,,,0,0,,,0,,0,,0,,0
r32iLC915R07494[c],3.372084419,3.415784839,3.535405524,3.506517758,3.396464998,3.503806564,3.385753753,3.490761948,3.688388661,3.417859748,3.514302502,3.502501655,3.580701021,3.388068917,3.333498866,3.417859748,3.535405524,3.282546208,3.503806564,3.71399957,3.503806564,3.569878442,3.538650303,3.28816857,3.688263285,3.492078552,3.503806564,3.488876477,3.741820993,3.535405524,3.4603689,3.338517989,3.356721986,3.546267628,3.356893731,3.741820993,3.385753753,3.282546208,3.569878442,3.57997575,3.569878442,3.535405524,3.372084419,3.471674019,3.546267628,3.488876477,3.569878442,3.548102474,3.507019247
r3480YCM833[g],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
