Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
r0723YCM606R00772[c],21.82915467,21.82915467,99.70012835,98.90497168,21.82915467,102.0094084,21.82915467,21.82915467,98.9157031,21.82915467,21.82915467,21.82915467,21.82915467,96.38563056,99.41556029,21.82915467,21.82915467,21.82915467,21.82915467,21.82915467,21.82915467,100.3472054,102.2907242,21.82915467,21.82915467,21.82915467,21.82915467,21.82915467,21.82915467,100.1718046,21.82915467,21.82915467,21.82915467,98.33511085,21.82915467,101.2319285,96.69991339,21.82915467,100.3131934,21.82915467,21.82915467,21.82915467,96.57342812,21.82915467,21.82915467,101.2942271,21.82915467,21.82915467,99.82548049
r0724YCM606R01655[c],286.4473975,290.5674313,272.7017009,263.3724063,85.81546596,265.8929817,280.2138031,278.7136957,304.8028478,291.1429524,263.8822181,84.41722128,273.8500736,296.6805239,86.29090528,291.1156434,275.4196286,258.9190312,260.7467422,338.6459125,260.8475947,268.0868744,260.9440908,284.7965966,306.4258933,257.5398851,260.8475947,292.9447646,309.7832462,272.05307,258.9318658,275.6071829,90.09429026,279.9554994,82.87583908,309.6878757,281.1046945,254.9718435,267.9921266,350.6233955,297.2411374,276.1244884,286.8674673,270.9011136,280.1636771,274.1742107,271.6766344,336.7265173,303.9088968
r0726YCM606R00177[c],13.89261915,13.61158129,16.45166756,16.51591507,16.11825256,17.05967967,13.63372756,16.9110617,16.38888336,13.7090946,13.38131578,17.08777514,16.47779747,13.57796055,16.32951091,13.7090946,16.89532294,17.11667477,16.89030903,16.65818078,16.90884404,16.69020709,17.45890329,14.08911246,16.05112129,17.03563959,16.90884404,13.57242755,16.99388635,16.53548338,16.30534146,14.06251972,16.2413255,16.26134544,12.98900135,13.16601992,13.79039029,13.43879115,16.67955556,13.54066001,14.1599981,16.80425704,16.44650229,16.65493599,16.28973932,17.01757388,17.07821885,13.24982933,15.88378974
r0731YCM606R01218[c],286.4473975,290.5674313,272.7017009,263.3724063,85.81546596,265.8929817,280.2138031,278.7136957,304.8028478,291.1429524,263.8822181,84.41722128,273.8500736,296.6805239,86.29090528,291.1156434,275.4196286,258.9190312,260.7467422,338.6459125,260.8475947,268.0868744,260.9440908,284.7965966,306.4258933,257.5398851,260.8475947,292.9447646,309.7832462,272.05307,258.9318658,275.6071829,90.09429026,279.9554994,82.87583908,309.6878757,281.1046945,254.9718435,267.9921266,350.6233955,297.2411374,276.1244884,286.8674673,270.9011136,280.1636771,274.1742107,271.6766344,336.7265173,303.9088968
r0732YCM606R01220[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0735YCM606R02245[c],26.07156225,26.36633541,27.95075248,27.55500616,26.52114966,27.95876158,26.13025584,27.2270722,28.653031,26.36002258,27.88966635,27.05169409,28.41081862,26.36038091,26.23938629,26.36002258,28.17282995,26.50865492,27.90300997,29.6584343,27.9067814,28.36435593,28.37712033,25.26140082,28.8314409,28.08700467,27.9067814,27.45854422,29.57257405,28.03723677,27.15790981,26.0600288,26.91916881,27.75046646,26.00194341,29.57257405,26.21656018,26.3004014,28.35816551,27.674481,28.36233098,28.09667345,26.10477154,27.14550981,27.76742379,27.79790355,28.54580647,27.22529067,27.85320908
r0736YCM606[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0737YCM606[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0737iAL1006R02571[m],,,,,0,,,,0,,0,,0,,,,,,,,,0,,,0,,,,,,,,,0,0,,,,,,,,,,0,,,,
r0738YCM606[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
