Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
r0279YCM606R01714[c],0.796929461,0.807237815,0.841397165,0.832349865,0.802879393,0.831875872,0.797469645,14.16169302,0.874520955,0.807728169,0.834697178,13.93452179,0.85516758,0.808538011,0.78628818,0.807728169,0.841678038,0.785718655,0.8322382,0.885553127,0.8322382,0.852555431,0.842847124,12.20600359,0.875177621,0.83201945,0.8322382,0.830600815,0.892652986,0.841678038,0.820945569,0.78746638,0.792344692,0.843548489,0.790099722,0.892652986,0.797469645,0.785718655,0.852555431,0.853359381,0.852368418,0.841397165,0.796929461,0.821017247,0.843548489,0.830229354,0.852555431,0.837379367,0.834545682
r0280YCM606R01900[m],-14.35100444,-14.35100444,-14.35100444,,-14.35100444,-14.35100444,-14.35100444,-14.35100444,,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,0,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,,0,0,,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,-14.35100444,,,-14.35100444,-14.35100444,-14.35100444,-14.35100444
r0300YCM606R00351[m],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0302YCM606R01325[m],0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0
r0304YCM606R03220[c],0.796929461,0.807237815,0.841397165,0.832349865,0.802879393,0.831875872,0.797469645,0.827458914,0.874520955,0.807728169,0.834697178,0.821465553,0.85516758,0.808538011,0.78628818,0.807728169,0.841678038,0.785718655,0.8322382,0.885553127,0.8322382,0.852555431,0.842847124,0.775862797,0.875177621,0.83201945,0.8322382,0.830600815,0.892652986,0.841678038,0.820945569,0.78746638,0.792344692,0.843548489,0.790099722,0.892652986,0.797469645,0.785718655,0.852555431,0.853359381,0.852368418,0.841397165,0.796929461,0.821017247,0.843548489,0.830229354,0.852555431,0.837379367,0.834545682
r0306YCM606R00573[c],0.936203156,0.948313027,0.988442164,0.977813732,0.943192915,0.977256902,0.936837743,0.972068024,1.027354763,0.948889077,0.980571268,0.965027245,1.004619137,0.949840449,0.923702173,0.948889077,0.988772123,0.923033117,0.977682552,1.04031495,0.977682552,1.00155048,0.990145522,0.911454821,1.02812619,0.9185297,0.977682552,0.975759012,1.0486556,0.988772123,0.964416388,0.92508628,0.930817139,0.990969459,0.928179831,1.0486556,0.936837743,0.923033117,1.00155048,1.002494931,1.001330785,0.988442164,0.936203156,0.964500593,0.990969459,0.975322634,1.00155048,0.983722204,0.980393296
r0308YCM606R01286[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0309YCM606R01290[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0310YCM606R01001[c],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r0311YCM606R03217[c],0,0,0,,0,0,0,0,,0,,0,0,,,0,0,,,0,0,0,0,,0,,,0,0,0,0,0,,0,0,,0,,0,,0,0,,0,0,0,0,0,0
