Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
t_84,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844,15.91470844
t_85,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355,13.81803355
t_86,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992,17.99342992
t_87,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623,15.96152623
t_88,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056,8.712947056
t_89,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755,12.23349755
t_9,142.327842,141.5783788,141.5494433,139.9106305,145.2491847,144.5162958,141.33676,157.5406243,126.5029428,140.9974861,142.2582012,145.8612737,141.0880933,141.2175876,149.9156128,140.9974861,142.169887,121.158095,143.5169416,137.5058304,143.5537476,142.0060627,143.9879789,158.2471958,130.6919942,146.9763035,143.5537476,147.3421645,131.8692043,141.9484483,141.3853612,144.4265109,150.5041177,138.1160792,145.0787399,130.9087292,141.5102701,120.3824737,141.8819643,131.9075803,145.7808105,141.8408754,142.5108341,139.8360797,138.0730257,143.6426392,142.0432768,133.3875801,148.5440806
t_90,6.785467105,6.864522753,12.5762838,12.5762838,12.5762838,7.400378713,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,6.737008441,12.5762838,12.5762838,6.990222329,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,7.539162721,12.5762838,12.5762838,7.095377918,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,12.5762838,6.919017747,12.5762838,12.5762838,7.783368179,12.5762838,12.5762838,12.5762838,7.187143004,7.374841093,7.436229148,6.869315325,12.5762838
t_91,0,,,,0,0,0,,0,,0,0,0,0,,0,0,,,0,,0,,0,,,,,,,,,0,0,0,,0,,0,0,,0,0,,0,,0,0,0
t_92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_94,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707,8.635637707
t_95,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894,12.16327894
t_96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_97,124.4008006,135.6192212,147.7762593,126.1382912,160.1194673,137.2650088,118.8368715,158.9711835,162.7684388,135.5334017,137.5763976,213.4082824,160.0050193,125.442117,147.2547547,129.4377101,147.5127567,137.8519518,137.4339064,195.8576364,137.4290542,159.7782137,149.1518272,120.1679307,189.4087183,145.6899835,137.4290542,0,208.2393124,147.8601466,122.9875108,116.6214357,96.33626813,135.1909609,148.1687447,207.9774455,118.8640173,138.0146489,159.7521231,114.6758285,76.87769609,147.4435849,124.3195857,95.48571111,135.1705021,143.8508133,159.4899405,120.9017885,117.2910955
t_98,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473,9.954958473
t_B00002_er_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_C00002_c_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_C00004_c_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_C00005_c_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_C00024_c_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_C00024_m_c,128.7400779,130.9818322,160.9466511,159.3507135,164.5549992,157.3372158,129.5480187,162.2618381,166.9910125,129.9989815,158.2902744,179.3004136,162.51343,129.5932537,160.0662319,129.9989815,160.4964788,149.4518248,157.4872191,175.2122213,157.5125609,161.4641464,157.4380453,129.6929573,169.4881259,154.5328166,157.5125609,171.2684309,174.7061021,161.2213758,156.7567862,128.9205095,167.9042617,164.8182971,164.519566,173.9422766,129.6638204,149.688278,161.3787016,130.9512051,173.4145936,160.267914,128.8608748,159.0702506,164.005334,156.6188572,160.8253062,129.2862375,168.8038532
t_C00054_c_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_C00060_c_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
